"article_text","article_seen","article_likes","article_dislikes","article_date"
"Еще <u>осенью 2014 года</u> на официальной встрече с представителями силовых структур Петр Порошенко заявил, что видит исключительно мирное, политическое решение конфликта в Донбассе. А немногим ранее, выступая в Одессе, президент Украины проговорился об истинном плане действий в ""мятежном"" регионе: Одессу Порошенко назвал ""бандеровским"" городом, отметив, что это, по его мнению, комплимент. Президент четко дал понять, что ждет население самопровозглашенных республик: мирного решения не предусмотрено. ""Вас будут убивать прямо и косвенно"", – говорил он про обычных страны. Примерно в то же время Владимир Зеленский, тогда еще юморист и актер, обращаясь к карателям из т. н. АТО, впадал в экзальтацию: Украинские политики вообще часто использовали слово ""мрази"" как синоним выражения ""жители ЛНР и ДНР"". Вот, например, <u>цитата министра</u> социальной политики Украины Андрея Ревы: Риторику, созданную официальным Киевом, поддерживали и медийщики- пропагандисты. Например, журналист и писатель Остап Дроздов <u>в очень доступной форме</u> донес идею, сформулированную Порошенко: Вас что-то не устраивает? Умирайте. Примерно такой была эта риторика. На каждый пункт требований народных республик украинская власть отвечала бескомпромиссным отказом. Хотите, чтобы перестали притеснять русскоязычных и вернули русскому языку статус регионального? Вот вам <u>ответ депутата</u> Верховной рады и советника Зеленского по политическим вопросам Никиты Потураева: Игнорируя требование о статусе регионального для русского языка, Киев по факту игнорировал требование своих граждан. Но как быть с прописанными в Минских соглашениях требованиями о проведении местных выборов (пункт 4) и особом статусе для районов Донецкой и Луганской областей (пункт 11)? <br/>Далее <u>цитата депутата</u> Верховной рады (от партии ""Слуга народа"") Даниила Гетманцева: Такой же противник мирного урегулирования конфликта и по совместительству любитель медицинских метафор Юрий Луценко, бывший министр внутренних дел, генеральный прокурор и депутат Верховной рады: Наказал ли коллективный Запад Украину за невыполнение Минских соглашений? Вопрос риторический. Постепенно список врагов пополнили все русскоговорящие граждане Украины, и неважно, живут они в самопровозглашенных республиках или в Херсоне, Одессе, Мариуполе, Киеве или любом другом городе. На момент выступления (2019 год) уже бывший депутат Верховной рады Ирина Фарион решила не сдерживать себя, говоря <u>о всех русскоязычных</u> в целом: ""И с первыми, и со вторыми"" у Ирины Фарион разговор короткий. Если <u>ориентироваться на ее слова</u>, сказанные в 2019 году, то идея решения конфликта в Донбассе путем лишения людей условий для жизни, сформулированная Порошенко в 2014-м, за пять лет никак не изменилась. Улыбка, правда, эсэсовская. Хотя какая она еще может быть, если аргументация у представителей украинской власти пропитана идеями Третьего рейха. Мэр города Красногоровки <u>Олег Ливанчук говорил</u>, что в Донецкой области ""большой процент тупого населения"", объясняя это ""плохой генетикой"": <u>Вторит депутату</u> журналист Богдан Буткевич, считающий что треть жителей Донбасса — лишние люди:  Справедливости ради стоит сказать, что не все в украинском правительстве объясняют ""неправильность"" населения Донбасса генетикой. Например, министр культуры Украины Евгений Нищук <u>считает</u>, что проблемы с живущими там людьми оттого, что их в Незалежную ""завезли искусственно"": Неудивительно, что у сторонников ""окончательного решения донбасского вопроса"" есть только одно решение — освобождение жизненного пространства. Об этом, например, <u>говорил уже бывший депутат</u> Верховной рады, а в прошлом участник войны в Донбассе Семен Семенченко: Действительно, кому как не командиру карательного нацбата ""Донбасс"" знать толк в ""обезлюдении"". Но, наверное, честнее всех сформулировать <u>истинную позицию</u> официального Киева (и при Порошенко, и при Зеленском) удалось главе города Днепра, бывшему депутату Верховной рады Борису Филатову: Это лишь небольшая выборка высказываний политиков и властей предержащих о жителях Донбасса и русскоязычном населении Украины в целом. Достаточная, чтобы сделать многие выводы. Трагедии 2 мая 2014 года в Одессе — точка невозврата в Донбасском кризисе. О том, что происходило в Доме профсоюзов и наказали ли виновных, читайте в материала ""Восемь лет без возмездия"" ",35883,159,3,11:00 24.05.2022
" Компания Meta* сообщила, что пресекла на подконтрольных ресурсах деятельность сети из 60 сайтов российского происхождения, которые якобы маскировались под интернет-страницы крупных СМИ и распространяли материалы с критикой Украины и санкций. Специалисты компании признают, что им не удалось найти доказательств причастности к операции властей РФ, но утверждают, что российские посольства в странах Европы и Азии якобы перепечатывали отдельные публикации на своих аккаунтах. ""Это самая крупная и самая сложная операция российского происхождения, которую мы сорвали с начала (спецоперации). Она представляла собой необычную комбинацию изощренности и грубой силы"", - сказано в сообщении оператора социальных сетей Facebook* и Instagram*. По данным Meta*, сеть начала действовать в мае и состояла из более чем 60 сайтов, которые в дотошных подробностях мимикрировали под интернет-страницы ""новостных организаций в Европе"", включая Spiegel, The Guardian и Bild. Meta* утверждает, что в сети печатались подборки ""оригинальных статей"", мемов и видеороликов с критикой Украины и украинских беженецев, выражением поддержки России и опасений по поводу последствий санкций для западных стран. Затем эти материалы тиражировались через различные социальные сети и интернет-платформы, сказано в сообщении. ""Когда мы блокировали домены этой операции, они пытались создать новые веб-сайты, проявляя настойчивость и готовность продолжать инвестиции в подобную интернет-деятельность в интернете. Они работали в основном на английском, французском, немецком, итальянском, испанском, русском и украинском языках"", - сообщила Meta*. <em>* Деятельность Meta (соцсети Facebook и Instagram) запрещена в России как экстремистская.</em> ",7431,11,36,16:20 27.09.2022
" Украинские войска обстреляли Куйбышевский и Киевский районы Донецка, выпустив пять снарядов калибром 155 миллиметров, сообщает представительство Донецкой Народной Республики в Совместном центре контроля и координации вопросов, связанных с военными преступлениями Украины. ""Зафиксирован обстрел со стороны вооруженных формирований Украины по направлению: 22.18 (совпадает с мск) - населенный пункт Нетайлово - город Донецк (Куйбышевский и Киевский районы): выпущено пять снарядов калибром 155 миллиметров"", - сообщается в Telegram-канале представительства. Артиллерия калибром 155 миллиметров применяется странами НАТО. США поставили Киеву дальнобойные гаубицы M-777 калибром 155 миллиметров, украинские войска активно используют их для обстрела городов Донецкой и Луганской Народных Республик. Также киевским войскам были поставлены немецкие самоходные артиллерийские установки PzH 2000, польские САУ Krab и французские САУ CAESAR, использующие снаряды такого калибра. ",5689,13,14,22:54 01.10.2022
" Европе предстоит пережить зиму на фоне энергетического кризиса. Цены на отопление и электричество растут — некоторые предрекают, что до 500 процентов. Такие издержки в бюджеты не заложены. Музеи экономят на иллюминации фасадов, Эйфелева башня будет сверкать меньше, а термин ""энергетическая осознанность"" употребляют все чаще. О том, как планируют освещать монументы зимой и почему уменьшение теплоснабжения опасно для мировых шедевров, — в эксклюзивных комментариях европейских музеев для РИА Новости. Самый яркий (причем буквально) пример — это сокращение времени подсветки европейских достопримечательностей. Знаменитая стеклянная пирамида перед зданием Лувра — одна из визитных карточек музея, место для многочисленных селфи туристов. Теперь прозрачный монумент будут подсвечивать только до одиннадцати вечера. Там также отметили, что Лувр уже более десяти лет придерживается подхода корпоративной социальной ответственности, направленной на снижение воздействия на окружающую среду. Еще раньше — в десять вечера — будут гаснуть софиты башни Сен-Жак, Версальского дворца, а также муниципальных музеев. В то же время французские власти объявили, что подсветку Эйфелевой башни планируют выключать не в час ночи, как раньше, а в 23:45. Все это — чтобы соответствовать плану экономии электроэнергии города. Уже идут переговоры о сокращении времени иллюминации Триумфальной арки и Пантеона. В Германии подобную практику ввели летом, когда энергию экономили из-за жары. Тогда отключили освещение колонны Победы в Большом Тиргартене и Мемориальной церкви кайзера Вильгельма на площади Брайтшайдплац в Берлине. В жаркие месяцы власти Германии, как и Испании, рекомендовали гражданам не злоупотреблять использованием кондиционеров. С наступлением холодов отопление включат позже, а общественные помещения будут прогревать не больше чем на 18-19 градусов. В той же Испании освещение неиспользуемых витрин отключили совсем, а подсветка общественных зданий теперь работает только до 22:00. Аналогичные меры рассматривает австрийский Зальцбург. Город Линц уже отказался от ночной иллюминации достопримечательностей. Можно лишь предположить, как при отключении тепла или снижении мощностей электроприборов будут действовать европейские культурные институции. Именно там хранятся знаменитые шедевры: импрессионисты в стенах музея Орсе, полотна Веласкеса в Прадо, Микеланджело в собрании Ватикана или работы кисти Тернера в Национальной портретной галерее Лондона. Речь идет как о постоянных экспозициях, так и о гигантских фондохранилищах, скрытых от посетителей. Главный хранитель Екатеринбургского музея изобразительных искусств Анна Гринева напоминает, что экспонатам нужен определенный климат, а некоторые коллекции и объекты требуют особого уровня освещенности. ""Несмотря на то что хранение предметов в фондохранилищах и на выставках отличается, соблюдение и поддержание необходимой температуры, влажности и освещения — одно из основных условий"", — поясняет она. Российские музейные специалисты подчеркивают, что не владеют информацией о ситуации с условиями хранения предметов в европейских фондах и запасниках. Также нет данных о протоколах на случай непредвиденных ситуаций. Но во всем мире сохранение определенных типов экспонатов требует особых условий. Для большинства археологических памятников, металлов, подверженных коррозии, и пористого камня необходим низкий уровень влажности. А для изделий из дерева, кости, кожи, перламутра опасно пересыхание. Фотоматериалы нужно хранить при низкой температуре, пергамент и восточные изделия из шелка чувствительны к колебаниям климата. Не все просто и с живописью: при перепаде температур возникает опасность образования кракелюра — мелких трещинок на картине, которые могут даже уничтожить изображение. Практические советы в новых условиях выработал Немецкий союз музеев. Он рекомендует проверить возможность совместного хранения материалов с одинаковыми требованиями консервации. Или подумать о том, чтобы временно переместить коллекцию в помещения, которые ""могут кондиционироваться более энергоэффективным способом или где уже созданы наилучшие климатические условия"". В последние годы многие европейские музеи уже работали над программами по сокращению энергопотребления. Переходили на светодиодные лампы, делали датчики движения и более эффективные двигатели вентиляционных установок. Изначально многие музеи, галереи и библиотеки Европы заявили, что готовы стать ""убежищем"" для тех, у кого нет возможности нормально отапливать свои дома: желающие смогут прийти не только на экскурсию или занятия, но и просто погреться. Однако в последнее время площадки обеспокоены повышением цен. Так, музеи в Страсбурге сократят часы работы. Они планируют закрываться на два полных дня в неделю, а также приостанавливать потребление электричества с 13:00 до 14:00. Не менее взволнованна Великобритания — даже несмотря на заявления правительства о полугодовом сдерживании цен на энергоносители для бизнеса. Прогнозируют, что годовые счета за электроэнергию домохозяйств вырастут там в среднем до 80 процентов с октября, а музеев — до 500 процентов. По ее словам, если музеи не найдут финансовой поддержки у государства или спонсоров, им придется как минимум закрываться в некоторые дни недели. Но все же главное — в каких условиях будут храниться мировые шедевры. ",10815,101,10,08:00 30.09.2022
" Американский актер Том Хэнкс выпустит свой первый роман ""The making of another major motion picture masterpiece"" (""Создавая очередной крупный киношедевр"") в 9 мая 2023 года, сообщает People. ""Каждый герой этой книги делает что-то, что произошло со мной, когда занимался производством фильмов, а также когда открывал для себя какую-либо философию или усваивал важный урок"", — комментирует Хэнкс. В романе описывается жизнь персонажей в США в нескольких временных отрезках — в послевоенном 1947 году, 1970-й и в настоящее время. Хэнкс уже пробовала силы в писательском мастерстве: в 2017 году вышел сборник его рассказов ""Уникальный экземпляр"". В него вошли 17 произведений. Актер известен по ролям в таких фильмах, как ""Форрест Гамп"", ""Спасти рядового Райана"", ""Зеленая миля"", ""Терминал"", ""Изгой"" и другим. ",115,2,1,12:16 29.09.2022
" В Гаити выявили один случай заражения холерой, сообщает Минздрав страны. ""Министерство здравоохранения и населения уведомляет население об обнаружении подтвержденного случая холеры"", - говорится в релизе, опубликованном ведомством в соцсетях. Отмечается, что министерству также известно о случае с подозрением на заболевание. В связи с выявлением холеры министерство рекомендует гражданам соблюдать правила гигиены и обращаться в ближайшее медучреждение в случае появления ее симптомов. ",3623,1,1,22:20 02.10.2022
" Все приложения технологического холдинга VK исчезли из магазина приложений AppStore, в том числе и сервис ""Почта Mail.ru"", передает корреспондент РИА Новости. Ранее в понедельник корреспондент РИА Новости выяснил, что приложение социальной сети ""ВКонтакте"" пропало из магазина приложений App Store, в Google Play оно осталось по-прежнему доступно. Ни одно из приложений холдинга VK, в их числе VK Play, VK Музыка, VK Клипы и VK Мессенджер, VK Play и VK Админ, а также ""Почта Mail․ru"" и ""Облако Mail.ru"" не находится по поиску. При этом приложение социальной сети ""Одноклассники"", которая также принадлежит VK, все еще доступно для скачивания. РИА Новости направило запрос в VK и Apple. ",5949,32,20,23:11 26.09.2022
" Соцфонд в 2023 году направит на пенсии свыше 9,5 триллиона рублей и почти 2 триллиона рублей на поддержку семей с детьми, сообщили журналистам в пресс-службе Минтруда России. ""Социальный фонд России направит в 2023 году свыше 9,5 триллиона рублей на выплаты пенсий и 1,9 триллиона рублей - на различные меры поддержки семей с детьми. Проект бюджета Фонда пенсионного и социального страхования Российской Федерации (Социального фонда России) на 2023 год и на плановый период 2024 и 2025 года представлен Минтрудом России на портале для общественного обсуждения на экспертизу"", - говорится в сообщении. В министерстве отметили, что Социальный фонд с 1 января 2023 года будет обеспечивать все те меры поддержки и страховые выплаты, которые сейчас администрируют Пенсионный фонд и Фонд социального страхования. Как отметил глава Минтруда Антон Котяков, как и было обещано, при проектировании бюджета не использовался принцип перекрестного финансирования. ""То есть доходы и расходы по каждому из видов страхования учитываются отдельно. Средства от одного вида страхования не используются для финансирования расходов по другому виду страхования"", - уточнил Котяков, слова которого привели в пресс-службе. В 2023 году доходы Социального фонда составят 13,7 триллиона рублей, в том числе поступления от пенсионных взносов составят, по прогнозу, 7,3 триллиона рублей, от взносов на обязательное социальное страхование на случай временной нетрудоспособности и в связи с материнством - порядка 856 миллиардов рублей и от взносов на страхование от несчастных случаев на производстве и профессиональных заболеваний - 182 миллиарда рублей. Также прогнозируемый объем трансферта из федерального бюджета составит порядка 5 триллионов рублей. Из них свыше 1,9 триллиона - на меры поддержки семей с детьми. Еще порядка 667 миллиарда будет направлено в бюджет Социального фонда в качестве компенсации льготных тарифов для отдельных категорий работодателей, свыше 654 миллиардов из трансферта предназначено на выплаты социальных пенсий и государственное пенсионное обеспечение. Средства трансферта будут использоваться и для ежемесячных денежных выплат льготным категориям граждан, валоризации пенсий, оплаты нестраховых периодов при назначении страховых пенсий, предоставления средств технической реабилитации, федеральной социальной доплаты к пенсии и на другие меры социальной поддержки. Расходы Социального фонда в 2023 году составят более 13,5 триллиона рублей, из них на выплату пенсий Фонд направит свыше 9,5 триллиона рублей, на меры поддержки семей с детьми - свыше 1,9 триллиона рублей, на выплату больничных, пособий по беременности и родам и по уходу за ребенком - порядка 840 миллиардов рублей, страховые выплаты в связи с несчастными случаями на производстве и обеспечение предупредительных мер – порядка 130 миллиардов рублей, на ежемесячные денежные выплаты льготных категориям граждан - порядка 500 миллиардов. В Минтруде отметили, что с учетом утвержденного прогноза макроэкономических показателей бюджет Социального фонда на 2023 год сложился с профицитом в 169,9 миллиарда рублей за счет профицита по обязательному социальному страхованию. В дальнейшем он будет использован для увеличения пособий по временной нетрудоспособности и в связи с материнством для работающих граждан и профициту по страхованию от несчастных случаев на производстве. Фонд пенсионного и социального страхования Российской Федерации начнет работу 1 января 2023 года. Также с 1 января 2023 года работодатели перейдут на единый тариф уплаты страховых взносов. ",4125,56,6,23:26 23.09.2022
" Решение о мобилизации 51-летнего жителя Волгоградской области, который ранее не служил, отменено после проверки документов, сообщает администрация региона. Ранее СМИ сообщали, что 51-летний житель города Серафимович Владимир Черячукин получил повестку, но он не служил, только проходил военную кафедру в институте. Кроме того, по данным СМИ, у мужчины есть ряд заболеваний, в том числе грыжи в спине, но его не послушали в военкомате и отправили на сборы. ""Призывная комиссия Волгоградской области по частичной мобилизации сообщает, что еще один житель Клетского района – 51-летний Владимир Черячукин – 21 сентября получил повестку и явился в районный военкомат. На сборном пункте по итогам проверки всех документов был освобожден от частичной мобилизации в связи с несоответствием критериям отбора"", - говорится в сообщении ведомства в Telegram-канале. Отмечается, что в воскресенье Черячукина доставят домой. Ранее власти региона сообщали, что решение о мобилизации были отменены в отношении еще четырех жителей Волгоградской области. Ранее в главном организационно-мобилизационном управлении Генштаба ВС РФ сообщили, что в соответствии с российским законодательством призыву на военную службу по мобилизации подлежат граждане, имеющие воинские звания рядового и сержантского состава – в возрасте до 35 лет, младших офицеров – до 50 лет, старших офицеров – до 55 лет. ",79869,158,7,22:43 24.09.2022
" Правительство Мексики впервые за десять лет объявило о создании археологической зоны. Она составит 722 гектара по площади вокруг поселения индейцев отоми в штате Гуанахуато, сообщает Национальный институт антропологии и истории INAH. Расцвет этого поселения датируется 600-900 годами нашей эры. Исследователи считают, что индейцы построили его, ориентируясь на путь солнца. Его храмы выстроены в симметрии к траектории солнца и луны. Статус охраняемого исторического памятника позволит исключить застройку территории Каньяда-де-ла-Вирхен и другую коммерческую деятельность.  Древние поселения отоми располагались на территории современных Мехико, Гуанахуато, Идальго и Пуэблы. К XIV веку они были завоеваны ацтеками и вошли в состав их империи. ",598,27,0,11:07 22.09.2022
" Министерство цифрового развития, связи и массовых коммуникаций до 26 сентября подготовит рекомендуемый список специальностей по отраслевым направлениям для отсрочки от частичной мобилизации, сообщило ведомство в Telegram-канале. ""Минцифры готовит рекомендуемый перечень специальностей по каждому отраслевому направлению. Список будет опубликован не позднее 26 сентября"", — говорится в заявлении. Кроме того, совместно с Минобороны министерство прорабатывает форму подачи списков сотрудников, подходящих под критерии отсрочки, она будет доступна на следующей неделе на портале ""Госуслуг"". Ранее в пятницу российское оборонное ведомство заявило, что для обеспечения работы отдельных высокотехнологических отраслей, а также финансовой системы страны принято решение не призывать на военную службу в рамках частичной мобилизации граждан с высшим образованием по соответствующим специальностям и направлениям подготовки. Речь идет о специалистах IT, связи, СМИ и финансов. Минцифры поддержало это решение. Президент Владимир Путин 21 сентября в обращении к гражданам сообщил, что российским военным противостоит вся военная машина коллективного Запада. В этой ситуации глава государства считает необходимым поддержать предложение Министерства обороны и Генерального штаба о проведении в России частичной мобилизации. Глава государства подчеркнул, что в ее рамках призывать будут только граждан из запаса и прежде всего тех, кто проходил службу в Вооруженных силах, имеет опыт и военно-учетную специальность. По словам министра обороны Сергея Шойгу, в общей сложности будут призваны 300 тысяч резервистов, это чуть более одного процента от общего мобилизационного ресурса. ",60902,26,6,22:20 23.09.2022
" Венгрии, возможно, придется заплатить по меньшей мере 4 миллиарда евро за российский газ этой зимой без учета отсроченного платежа ""Газпрому"", <a href=""https://www.bloomberg.com/news/articles/2022-10-04/power-company-mvm-to-make-delayed-payments-for-three-years?leadSource=uverify%20wall"" rel=""nofollow noopener"" target=""_blank"">передает агентство Блумберг со ссылкой на осведомленные источники. Венгерская компания MVM ранее заявила, что заключила с ""Газпромом"" соглашение об отсрочке платежа за газ в связи резкими колебаниями цен на предстоящий зимний период. ""Венгрии, возможно придется заплатить около 4 миллиардов евро или больше за российский газ в период европейской зимы, не считая отсроченную сумму"", - говорится в сообщении агентства. Отмечается, что Будапешт получил на три года отсрочку на сумму примерно в 1,9 миллиарда евро. ",1708,50,9,20:28 04.10.2022
" Глава Минобороны Белоруссии Виктор Хренин заявил: есть конкретные данные, что страны НАТО готовят свою инфраструктуру и войска к войне, Минск не может оставить без внимания милитаризацию своих западных соседей и вырабатывает меры реагирования. ""Обстановка сегодня действительно сложная. Уже открыто ряд враждебно настроенных руководителей, к сожалению, соседних стран обозначили свои цели, которые они хотят достичь, работая против нашей страны. Просто так без внимания мы это оставить не можем. На все те угрозы, которые могут возникнуть, мы будем реагировать быстро, точно, адекватно той обстановке, которая будет возникать. Для этого у нас есть и силы, и средства"", — приводит слова министра Sputnik.Беларусь. Хренин заявил, что, прикрываясь мнимой угрозой с Востока, страны НАТО и соседние с Белоруссией западные государства не просто милитаризируются, а готовятся к войне. ""Готовят свою инфраструктуру, готовят свои войска. У нас есть конкретные данные. Мы постоянно отслеживаем обстановку, видим, что они делают. Исходя из этого и вырабатываем конкретные и адекватные меры реагирования"", — добавил он. ",96467,192,28,14:56 04.10.2022
" США очень серьезно воспринимают российские заявления по поводу ядерного оружия, но пока не видят оснований для повышения готовности собственных сил сдерживания, заявила официальный представитель Белого дома Карин Жан-Пьер. Ранее президент РФ Владимир Путин выступил с обращением к россиянам, посвященным ситуации на Донбассе и ходу спецоперации. Он заявил, что Россия поддержит решения референдумов ЛНР, ДНР, Запорожской и Херсонской областей, объявил о частичной мобилизации в РФ, назвав это решением, которое в полной мере адекватно нынешним угрозам, а также сказал, что при угрозе территориальной целостности РФ использует все имеющиеся средства. Зампред Совбеза России Дмитрий Медведев заявлял, что Донбасс и другие территории после референдумов и присоединения к России будут существенно усилены Вооруженными силами РФ, для их защиты могут быть использованы не только мобилизационные возможности, но и любое российское оружие, включая стратегическое ядерное вооружение. ""Очевидно, что мы воспринимаем эти угрозы очень серьезно, но мы не видели никаких причин корректировать конфигурацию наших ядерных сил в настоящее время. Последствия использования ядерного оружия Россией... окажутся катастрофичны для мира, а Россия станет изгоем на международной арене"", - сказала Жан-Пьер на брифинге. Путин ранее заявлял, что в ядерной войне не может быть победителей, и она никогда не должна быть развязана, отметив, что РФ последовательно следует букве и духу Договора о нераспространении ядерного оружия. ",6382,40,16,22:26 23.09.2022
